1-2;cortical areas 1 & 2;primate;Tel::Cx::SI::1-2
17;cortical area 17;primate;Tel::Cx::17
3a;cortical area 3a;primate;Tel::Cx::SI::3a
3b;cortical area 3b;primate;Tel::Cx::SI::3b
3V;third ventricle;rodent, carnivore, primate;Die::3V
4;cortical area 4;rodent, carnivore, primate;Tel::Cx::SI::4
4V;fourth ventricle;rodent, carnivore, primate;Pons::4V
5ME;mesencephalic trigeminal nucleus;rodent, carnivore, primate;Pons::5ME
6;cortical area 6;rodent, carnivore, primate;Tel::Cx::6
8;cortical area 8;primate;Tel::Cx::8
A;auditory cortical areas;rodent, carnivore, primate;Tel::Cx::A
AAA;anterior amygdaloid area;rodent, carnivore, primate;Tel::Am::AAA
ABL;basolateral nucleus of amygdala;rodent, carnivore, primate;Tel::Am::ABL
ABM;basomedial nucleus of amygdala;rodent, carnivore, primate;Tel::Am::ABM
AC;anterior commissure;rodent, carnivore, primate;Tel::AC
Ac;nucleus accumbens;avian;<Null>
ACC;nucleus accumbens;rodent, carnivore, primate;Tel::ACC
ACE;central nucleus of amygdala;rodent, carnivore, primate;Tel::Am::ACE
ACN;nucleus of anterior commissure;rodent, carnivore, primate;Tel::ACN
ACO;cortical nucleus of amygdala;rodent, carnivore, primate;Tel::Am::ACO
ACX;decussation of anterior commissure;rodent, carnivore, primate;Tel::ACX
AD;anterodorsal nucleus of thalamus;rodent, carnivore, primate;Die::Th::AD
AHA;amygdalo-hippocampal area;rodent, carnivore, primate;Tel::AHA
AHy;adenohypophysis;primate;<Null>
AL;ansa lenticularis;avian;<Null>
AL;ansa lenticularis;primate;<Null>
ALA;lateral nucleus of amygdala;rodent, carnivore, primate;Tel::Am::ALA
Am;amygdala;rodent, carnivore, primate;Tel::Am
AM;anteromedial nucleus of thalamus;rodent, carnivore, primate;Die::AM
AMB;nucleus ambiguus;rodent, carnivore, primate;Me::AMB
AME;medial nucleus of amygdala;rodent, carnivore, primate;Tel::Am::AME
APH;area parahippocampalis;avian;<Null>
AQ;cerebral aqueduct;rodent, carnivore, primate;MB::AQ
ARCO;archistriatum;avian;<Null>
AS;arcuate sulcus;rodent, carnivore, primate;Tel::Cx::AS
AV;anteroventral nucleus of thalamus;rodent, carnivore, primate;Die::AV
AVT;nucleus ventralis (Tsai);avian;<Null>
AW;anterior Wulst;avian;<Null>
BAS;nucleus basalis;avian;<Null>
