lateralorbitofrontal;lofRes83_RH;LOFC;right;Category:Lausanne83 (2008)
parsorbitalis;poRes83_RH;fro;right;Category:Lausanne83 (2008)
frontalpole;fpRes83_RH;frp;right;Category:Lausanne83 (2008)
medialorbitofrontal;mofRes83_RH;MOFC;right;Category:Lausanne83 (2008)
parstriangularis;ptriRes83_RH;IFGTr;right;Category:Lausanne83 (2008)
parsopercularis;popRes83_RH;oro;right;Category:Lausanne83 (2008)
rostralmiddlefrontal;rmfRes83_RH;MFGr;right;Category:Lausanne83 (2008)
superiorfrontal;sfRes83_RH;SFG;right;Category:Lausanne83 (2008)
caudalmiddlefrontal;cmfRes83_RH;MFGc;right;Category:Lausanne83 (2008)
precentral;pcRes83_RH;PrG;right;Category:Lausanne83 (2008)
paracentral;pacRes83_RH;ParaCS;right;Category:Lausanne83 (2008)
rostralanteriorcingulate;raccRes83_RH;ACgCr;right;Category:Lausanne83 (2008)
caudalanteriorcingulate;caccRes83_RH;ACgCc;right;Category:Lausanne83 (2008)
posteriorcingulate;pcRes83_RH;PCgG;right;Category:Lausanne83 (2008)
isthmuscingulate;icRes83_RH;ICgG;right;Category:Lausanne83 (2008)
postcentral;pocRes83_RH;PCG;right;Category:Lausanne83 (2008)
supramarginal;smRes83_RH;SMG;right;Category:Lausanne83 (2008)
superiorparietal;spRes83_RH;SPC;right;Category:Lausanne83 (2008)
inferiorparietal;ipRes83_RH;IPC;right;Category:Lausanne83 (2008)
precuneus;pcunRes83_RH;PCu;right;Category:Lausanne83 (2008)
cuneus;cunRes83_RH;Cun;right;Category:Lausanne83 (2008)
pericalcarine;pcalRes83_RH;CAS;right;Category:Lausanne83 (2008)
lateraloccipital;locRes83_RH;LOC;right;Category:Lausanne83 (2008)
lingual;linRes83_RH;LinG;right;Category:Lausanne83 (2008)
fusiform;fusiRes83_RH;FuG;right;Category:Lausanne83 (2008)
parahippocampal;paraRes83_RH;PHG;right;Category:Lausanne83 (2008)
entorhinal;entRes83_RH;Ent;right;Category:Lausanne83 (2008)
temporalpole;tpRes83_RH;TP;right;Category:Lausanne83 (2008)
inferiortemporal;itRes83_RH;ITG;right;Category:Lausanne83 (2008)
middletemporal;mtRes83_RH;MTG;right;Category:Lausanne83 (2008)
