10m;area 10m 
10o;area 10o
11l;area 11l 
1-2;somatosensory areas 1 and 2 
12l;area 12l 
12m;area 12m 
12o;area 12o 
12r;area 12r 
13b;area 13b 
13l;area 13l 
13m;area 13m 
14c;area 14c 
14r;area 14r 
23a;area 23a in posterior cingulate cortex 
23b;area 23b in posterior cingulate cortex 
23c;area 23c in posterior cingulate cortex 
24a;area 24a in anterior cingulate cortex 
24b;area 24b in anterior cingulate cortex 
24c;area 24c in anterior cingulate cortex 
25;area 25 
29;area 29 (retrosplenial cortex) 
30;area 30 (retrosplenial cortex) 
31;area 31 in the posterior cingulate gyrus 
32;area 32 
3a/b;somatosensory areas 3a and 3b 
4;primary motor cortex 
44;area 44 
45;area 45 
46d;area 46, dorsal subdivision 
46v;area 46, ventral subdivision 
4C;premotor area 4C 
5;somatosensory area 5 (complex) 
6DC;dorsal premotor area 6, caudal subdivision 
6DR;dorsal premotor area 6, rostral subdivision 
6Va;ventral premotor area 
6Vb;ventral premotor area 
7a;visual area 7a 
7b;visual area 7b 
7m;area 7m in the medial parietal cortex 
7op;area 7op (parietal operculum) 
7t;transitional area 7 near the lip of ips 
8A;area 8A 
8Bd;area 8B, dorsal subdivision 
8Bm;area 8B, medial subdivision 
8Bs;area 8B in the arcuate sulcus ("s" stands for sulcus) 
9d;area 9, dorsal subdivision 
9m;area 9, medial subdivision 
AB;accessory basal nucleus of amygdala 
AD;anterior dorsal nucleus 
AI;auditory area I, core region of the auditory cortex 
AL;anterior lateral, belt region of the auditory cortex 
ala, magnocellular subdivision 
AlP;anterior intraparietal area 
apos;anterior parieto-occipital sulcus 
asl;arcuate sulcus lower limb 
asu;arcuate sulcus upper limb 
AV;anterior ventral nucleus 
Bmc;basal nucleus of amygdala, magnocellular subdivision 
CA1;CA1 subfield of hippocampus 
CA2;CA2 subfield of hippocampus 
CA3;CA3 subfield of hippocampus 
CA4;CA4 subfield of hippocampus 
cas;calcarine sulcus 
cb;cerebellum 
CC;corpus callosum 
cd;caudate nucleus 
cdc;central dorsocellular nucleus 
cim;central intermediate nucleus 
cis;cingulate sulcus 
CL;caudal lateral, belt region of the auditory cortex 
cla;claustrum 
CM;caudomedial, belt region of the auditory cortex 
cnMD;centromedian nucleus 
cs;central sulcus 
csl;central superior lateral nucleus 
DG;dentate gyrus 
DP;dorsal prelunate area 
EC;entorhinal cortex, caudal division 
EI;entorhinal cortex, intermediate division 
EO;entorhinal cortex, olfactory division 
ER;entorhinal cortex, rostral division 
F1;agranular frontal area F1 
F2;agranular frontal area F2 
F3;agranular frontal area F3 
F3;agranular frontal area F3 
F4;agranular frontal area F4 
F5;agranular frontal area F5 
F6;agranular frontal area F6 
F7;agranular frontal area F7 
FST;floor of superior temporal area 
G;Gustatory cortex 
GPe;globus pallidus, external segment 
GPi;globus pallidus, internal segment 
HC;hippocampus 
Id;dysgranular insula 
Id;dysgranular insula 
Ig;granular insula 
ios;inferior occipital sulcus 
IPa;area IPa (sts fundus) 
ips;intraparietal sulcus 
Is;lateral sulcus 
Ius;lunate sulcus 
L;lateral nucleus of amygdala 
lai;intermediate agranular insula area 
lal;lateral agranular insula area 
LGN;lateral geniculate nucleus 
LIP;lateral intraparietal area 
Lme;external medullary lamina 
LOP;lateral occipital parietal area 
los;lateral orbital sulcus 
LP;lateral posterior nucleus 
MDmc;mediodorsal nucleus, magnocellular division 
MDpc;mediodorsal nucleus, parvicellular division 
MGN;medial geniculate nucleus 
MIP;medial intraparietal area 
ML;middle lateral, belt region of the auditory cortex 
mos;medial orbital sulcus 
MST;medial superior temporal area 
MT;middle temporal area 
NA;nucleus accumbens 
NLOT;nucleus of the lateral olfactory tract 
OT;olfactory tubercle 
ots;occipitotemporal sulcus 
pa;paraventricular nucleus 
PAC;periamygdaloid cortex 
paraS;parasubiculum 
PGa;area PGa 
PI;inferior pulvinar 
Pi;parainsular area 
PIP;posterior intraparietal area 
Pir;piriform cortex 
PL;lateral pulvinar 
PM;medial pulvinar 
PO;parieto-occipital area 
pos;parieto-occipital sulcus 
preS;presubiculum 
PreSMA;presupplementary motor area 
proS;prosubiculum 
ps;principal sulcus 
pu;putamen 
r;reticular nucleus 
R;rostral, core region of the auditory cortex 
RM;rostromedial, belt region of the auditory cortex 
rs;rhinal sulcus 
RT;rostrotemporal, core region of the auditory cortex 
SII;secondary somatosensory area (S2) 
Sm;stria medullaris 
SMA;supplementary motor area 
SN;substantia nigra 
STGc;caudal superior temporal gyrus 
STGr;rostral superior temporal gyrus 
STN;subthalamic nucleus 
sts;superior temporal sulcus 
Sub;subiculum 
TAa;area TAa (sts dorsal bank) 
TEa;area TEa (sts ventral bank) 
TEad;dorsal subregion of anterior TE 
TEav;ventral subregion of anterior TE 
TEm;area TEm (sts ventral bank) 
TEO;area TEO 
TEpd;dorsal subregion of posterior TE 
TEpv;ventral subregion of posterior TE 
TF;area TF of the parahippocampal cortex 
TFO;area TFO of the parahippocampal cortex 
TGa;agranular part of the temporal pole 
TGdd;dysgranular part of the dorsal temporal pole 
TGdg;granular part of the dorsal temporal pole 
TGsts;sts region of temporal pole 
TGvd;ventral dysgranular part of the temporal pole 
TH;area TH of the parahippocampal cortex 
TPO;area TPO (sts dorsal bank) 
Tpt;temporo-parietal area 
V1;visual area 1 (primary visual cortex) 
V2;visual area 2 
