Behavioral Domain;Definition;Adapted From;Citation
Cognition;The mental faculty of knowing, which includes perceiving, recognizing, conceiving, judging, reasoning, and imagining.;The mental faculty of knowing, which includes perceiving, recognizing, conceiving, judging, reasoning, and imagining.;cognition. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=cognition&x=0&y=0
Cognition.Attention;The concentration of the mind on a single object or thought, especially one preferentially selected from a complex, with a view to limiting or clarifying receptivity by narrowing the range of stimuli.;A concentration of the mind on a single object or thought, especially one preferentially selected from a complex, with a view to limiting or clarifying receptivity by narrowing the range of stimuli.;attention. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=attention&x=0&y=0
Cognition.Language;The mental faculty associated with a body of words and the systems for their use common to a people who are of the same community or nation, the same geographical area, or the same cultural tradition.;A body of words and the systems for their use common to a people who are of the same community or nation, the same geographical area, or the same cultural tradition.;language. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=language&x=0&y=0
Cognition.Language.Orthography;The study of writing words in language with the proper letters, according to accepted usage and correct spelling.;The art of writing words with the proper letters, according to accepted usage; correct spelling.;orthography. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=orthography&x=0&y=0
Cognition.Language.Phonology;The study of the distribution and patterning of speech sounds in a language and of the tacit rules governing pronunciation.;The study of the distribution and patterning of speech sounds in a language and of the tacit rules governing pronunciation.;phonology. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=phonology&x=0&y=0
Cognition.Language.Semantics;The study of meaning in language.;The study or science of meaning in language.;semantics. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=semantics&x=0&y=0
Cognition.Language.Speech;The study of expressing or describing thoughts, feelings, or perceptions in language, using words.;The faculty or act of expressing or describing thoughts, feelings, or perceptions by the articulation of words.;speech. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=speech&x=0&y=0
Cognition.Language.Syntax;The study of the rules for the formation of grammatical sentences in language.;The study of the rules for the formation of grammatical sentences in a language.;syntax. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=syntax&x=0&y=0
Cognition.Memory;The mental faculty of retaining and reviving facts, events, or impressions, or of recalling or recognizing previous experiences.;The mental capacity or faculty of retaining and reviving facts, events, impressions, etc., or of recalling or recognizing previous experiences.;memory. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=memory&x=0&y=0
Cognition.Memory.Working;The memory for intermediate results that must be held during thinking.;The memory for intermediate results that must be held during thinking.;working memory. (n.d.). WordNet® 2.0. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=working memory&x=0&y=0
Cognition.Memory.Explicit;The memory that consists of information stored and retrieved explicitly from the external world. This information is about a specific event that has occurred at a specific time and place.  Associations are done with previously related stimuli or experiences in the formation, storage and subsequent retrieval of these memories.;Consists of information stored and retrieved explicitly from the external world. This information is about a specific event that has occurred at a specific time and place.  Associations are done with previously related stimuli or experiences in the formation, storage and subsequent retrieval of these memories.;explicit memory. (n.d.). Wikipedia. Retrieved September 08, 2006, from Wikipedia.org website: http://en.wikipedia.org/wiki/Explicit_memory
