FreeSurfer;BIRN_Title;NN_ID;NN_String;Abbreviation;Latin
Left-Cerebral-White-Matter;Cerebral white matter;171;CEREBRAL WHITE MATTER;cw;Substantia medullaris cerebri
Left-Cerebral-Cortex;Cerebral cortex;20;CEREBRAL CORTEX;Cx;Cortex cerebri
Left-Cerebellum-Exterior;Cerebellum;640;CEREBELLUM;Cb;Cerebellum
Left-Cerebellum-White-Matter;Cerebellar white matter;688;CEREBELLAR WHITE MATTER;cbw;Substantia medullaris cerebelli
Left-Cerebellum-Cortex;Cerebellar cortex;644;CEREBELLAR CORTEX;CbCx;Cortex cerebelli
Left-Thalamus;Thalamus;283;THALAMUS;Th;Thalamus
Left-Thalamus-Proper;Thalamus;283;THALAMUS;Th;Thalamus
Left-Caudate;Caudate nucleus;208;CAUDATE NUCLEUS;Cd;Nucleus caudatus
Left-Putamen;Putamen;212;putamen;Pu;Putamen
Left-Pallidum;Globus pallidus;213;GLOBUS PALLIDUS;GP;Globus pallidus
Left-Hippocampus;Hippocampal formation;159;HIPPOCAMPAL FORMATION;HiF;Formatio hippocampi
Left-Amygdala;Amygdala;219;AMYGDALA;Amg;Corpus amygdaloideum
Left-Insula;Insula;93;INSULA;Ins;Insula
Left-Operculum;Opercular part of inferior frontal gyrus;69;opercular part of inferior frontal gyrus (H);OpIFG;Gyrus frontalis inferior, pars opercularis (H)
Left-Accumbens-area;Nucleus accumbens;259;nucleus accumbens;Acb;Nucleus accumbens
Left-Substancia-Nigra;Substantia nigra;527;SUBSTANTIA NIGRA;SN;Substantia nigra
Left-F3orb;Orbital part of inferior frontal gyrus;70;orbital part of inferior frontal gyrus (H);OrIFG;Gyrus frontalis inferior, pars orbitalis (H)
Left-lOg;Lateral orbital gyrus;74;lateral orbital gyrus;LOrG;Gyrus orbitalis lateralis
Left-aOg;Orbital gyri complex;73;ORBITAL GYRI;OrG;Gyri orbitales
Left-mOg;Medial orbital gyrus;75;medial orbital gyrus;MOrG;Gyrus orbitalis medialis
Left-pOg;Posterior orbital gyrus;-1761421113;posterior orbital gyrus (H);POrG;Gyrus orbitalis posterior (H)
Left-Porg;Posterior orbital gyrus;-1761421113;posterior orbital gyrus (H);POrG;Gyrus orbitalis posterior (H)
Left-Aorg;Orbital gyri complex;73;ORBITAL GYRI;OrG;Gyri orbitales
Right-Cerebral-White-Matter;Cerebral white matter;171;CEREBRAL WHITE MATTER;cw;Substantia medullaris cerebri
Right-Cerebral-Cortex;Cerebral cortex;20;CEREBRAL CORTEX;Cx;Cortex cerebri
Right-Cerebellum-Exterior;Cerebellum;640;CEREBELLUM;Cb;Cerebellum
Right-Cerebellum-White-Matter;Cerebellar white matter;688;CEREBELLAR WHITE MATTER;cbw;Substantia medullaris cerebelli
Right-Cerebellum-Cortex;Cerebellar cortex;644;CEREBELLAR CORTEX;CbCx;Cortex cerebelli
Right-Thalamus;Thalamus;283;THALAMUS;Th;Thalamus
Right-Thalamus-Proper;Thalamus;283;THALAMUS;Th;Thalamus
Right-Caudate;Caudate nucleus;208;CAUDATE NUCLEUS;Cd;Nucleus caudatus
Right-Putamen;Putamen;212;putamen;Pu;Putamen
Right-Pallidum;Globus pallidus;213;GLOBUS PALLIDUS;GP;Globus pallidus
Right-Hippocampus;Hippocampal formation;159;HIPPOCAMPAL FORMATION;HiF;Formatio hippocampi
Right-Amygdala;Amygdala;219;AMYGDALA;Amg;Corpus amygdaloideum
Right-Insula;Insula;93;INSULA;Ins;Insula
Right-Operculum;Opercular part of inferior frontal gyrus;69;opercular part of inferior frontal gyrus (H);OpIFG;Gyrus frontalis inferior, pars opercularis (H)
Right-Accumbens-area;Nucleus accumbens;259;nucleus accumbens;Acb;Nucleus accumbens
Right-Substancia-Nigra;Substantia nigra;527;SUBSTANTIA NIGRA;SN;Substantia nigra
Right-F3orb;Orbital part of inferior frontal gyrus;70;orbital part of inferior frontal gyrus (H);OrIFG;Gyrus frontalis inferior, pars orbitalis (H)
Right-lOg;Lateral orbital gyrus;74;lateral orbital gyrus;LOrG;Gyrus orbitalis lateralis
Right-aOg;Orbital gyri complex;73;ORBITAL GYRI;OrG;Gyri orbitales
Right-mOg;Medial orbital gyrus;75;medial orbital gyrus;MOrG;Gyrus orbitalis medialis
Right-pOg;Posterior orbital gyrus;-1761421113;posterior orbital gyrus (H);POrG;Gyrus orbitalis posterior (H)
Right-Porg;Posterior orbital gyrus;-1761421113;posterior orbital gyrus (H);POrG;Gyrus orbitalis posterior (H)
Right-Aorg;Orbital gyri complex;73;ORBITAL GYRI;OrG;Gyri orbitales
5th-Ventricle;Septal pellucidum;238;SEPTUM PELLUCIDUM;spt;Septum pellucidum
Left-F1;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
Right-F1;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
Optic-Chiasm;Optic chiasm;442;optic chiasm;ox;Chiasma opticum
Left-Amygdala-Anterior;Amygdala;219;AMYGDALA;Amg;Corpus amygdaloideum
Right-Amygdala-Anterior;Amygdala;219;AMYGDALA;Amg;Corpus amygdaloideum
Left-Caudate/Putamen;Neostriatum;207;STRIATUM;Str;Striatum
Right-Caudate/Putamen;Neostriatum;207;STRIATUM;Str;Striatum
Left-Claustrum;Claustrum;234;claustrum;Cl;Claustrum
Right-Claustrum;Claustrum;234;claustrum;Cl;Claustrum
Left-CADG-head;Hippocampal formation;159;HIPPOCAMPAL FORMATION;HiF;Formatio hippocampi
Left-fimbria;Fimbria;169;fimbria of hippocampus;fi;Fimbria hippocampi
Right-CADG-head;Hippocampal formation;159;HIPPOCAMPAL FORMATION;HiF;Formatio hippocampi
Right-fimbria;Fimbria;169;fimbria of hippocampus;fi;Fimbria hippocampi
alveus;Alveus;168;alveus;alv;Alveus
presubiculum;Presubiculum;149;presubiculum;PrS;Presubiculum
CA1;CA1;165;CA1 field;CA1;Cornu Ammonis 1
CA2;CA2;166;CA2 field;CA2;Cornu Ammonis 2
CA3;CA3;167;CA3 field;CA3;Cornu Ammonis 3
CA4;Hilus of dentate gyrus;163;hilus of dentate gyrus;hdg;Hilus gyri dentati
fimbria;Fimbria;169;fimbria of hippocampus;fi;Fimbria hippocampi
entorhinal_cortex;Entorhinal cortex;150;entorhinal area;Ent;Area entorhinalis
Amygdala;Amygdala;219;AMYGDALA;Amg;Corpus amygdaloideum
Cerebral_White_Matter;Cerebral white matter;171;CEREBRAL WHITE MATTER;cw;Substantia medullaris cerebri
Cerebral_Cortex;Cerebral cortex;20;CEREBRAL CORTEX;Cx;Cortex cerebri
Ectorhinal;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
Perirhinal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
V2;Occipital gyrus;134;occipital gyrus (M);OG;Gyrus occipitalis (M)
BA44;Frontal operculum;39;frontal operculum;fro;Operculum frontale
BA45;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
BA4a;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
BA4p;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
BA6;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
BA2;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
BAun1;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
BAun2;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
ctx-lh-cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
ctx-lh-entorhinal;Entorhinal cortex;150;entorhinal area;Ent;Area entorhinalis
ctx-lh-fusiform;Fusiform gyrus;121;fusiform gyrus;FuG;Gyrus fusiformis
ctx-lh-inferiorparietal;Inferior parietal cortex;89;INFERIOR PARIETAL LOBULE;IPL;Lobulus parietalis inferior
ctx-lh-inferiortemporal;Inferior temporal gyrus;120;inferior temporal gyrus;ITG;Gyrus temporalis inferior
ctx-lh-lateraloccipital;Lateral occipital cortex;137;lateral occipital gyrus (H);LOG;Gyrus occipitalis lateralis (H)
ctx-lh-lingual;Lingual gyrus;140;lingual gyrus;LiG;Gyrus lingualis
ctx-lh-medialorbitofrontal;Medial orbital frontal cortex;37;FRONTAL LOBE;FL;Lobus frontalis
ctx-lh-middletemporal;Middle temporal gyrus;119;middle temporal gyrus;MTG;Gyrus temporalis medius
ctx-lh-parahippocampal;Parahippocampal gyrus;146;PARAHIPPOCAMPAL GYRUS;PHG;Gyrus parahippocampalis
ctx-lh-paracentral;Paracentral sulcus;51;paracentral sulcus (H);pcs;Sulcus paracentralis (H)
ctx-lh-parsopercularis;Frontal operculum;39;frontal operculum;fro;Operculum frontale
ctx-lh-parsorbitalis;Orbital operculum;40;orbital operculum;oro;Operculum orbitale
ctx-lh-parstriangularis;Triangular part of inferior frontal gyrus;68;triangular part of inferior frontal gyrus (H);TrIFG;Gyrus frontalis inferior, pars triangularis (H)
ctx-lh-postcentral;Postcentral gyrus;87;postcentral gyrus;PoG;Gyrus postcentralis
ctx-lh-precentral;Precentral gyrus;71;precentral gyrus;PrG;Gyrus precentralis
ctx-lh-precuneus;Precuneus cortex;92;precuneus;PCu;Precuneus
ctx-lh-superiorfrontal;Superior frontal gyrus;65;superior frontal gyrus;SFG;Gyrus frontalis superior
ctx-lh-superiorparietal;Superior parietal cortex;88;superior parietal lobule;SPL;Lobulus parietalis superior
ctx-lh-superiortemporal;Superior temporal gyrus;118;superior temporal gyrus;STG;Gyrus temporalis superior
ctx-lh-supramarginal;Supramarginal gyrus;90;supramarginal gyrus;SMG;Gyrus supramarginalis
ctx-lh-frontalpole;Frontal pole;38;frontal pole;frp;Polus frontalis
ctx-lh-temporalpole;Temporal pole;108;temporal pole;tmp;Polus temporalis
ctx-rh-cuneus;Cuneus cortex;139;cuneus;Cun;Cuneus
ctx-rh-entorhinal;Entorhinal cortex;150;entorhinal area;Ent;Area entorhinalis
