HVC-AreaX;DESC:Connection between HVC and Area X is established by Area X projecting neurons in HVC.;PMID:10196550,10366643,10884326,11052946,12214232,12352977,12471486,12878713,12904792,14724261,15313778,15317851,15321071,15342742,15590726,15616963,15728835,17855617,18202651,18256272,18451295,18463257,7119147,8824335,8994068,10368416,16495362
FieldL-Shelf;PMID:12471486,8833113
LMAN-RA;PMID:10368416,11052946,12214232,16510728,17977927,18451295,18463257,7119147,15317851,16495362,12471486,15313778,8994068,15590726
RA-nXIIts;PMID:10368416,11052946,12214232,16510728,17977927,18451295,18463257,7119147,15590726,16495362,12471486
Ov-FieldL;PMID:8833113,15317851,12471486
CLM-Nif;PMID:10366643,12471486,14724261,15313778,15317851,15321071,15342742,15590726,17855617,18256272,18463257,7119147,8833113
FieldL-NCM;PMID:12471486,15313778,15321071,17433683,7724575,8833113
NCM-CLM;PMID:12471486,15313778,15321071,17433683,7724575,8833113
DLM-LMAN;PMID:11052946,12471486,15313778,18451295,7119147,8994068,15317851,15590726,16495362,10368416
LMAN-AreaX;PMID:11052946,15313778,12471486,11052946,18451295,8994068,7119147,15590726
NIf-HVC;PMID:10196550,10366643,10884326,11052946,12214232,12352977,12471486,12878713,12904792,14724261,15313778,15317851,15321071,15342742,15590726,15616963,15728835,17855617,18202651,18256272,18451295,18463257,7119147,8824335,8833113,10368416
HVC-RA;PMID:10196550,10366643,10884326,11052946,12214232,12352977,12471486,12878713,12904792,14724261,15313778,15317851,15321071,15342742,15590726,15616963,15728835,17855617,18202651,18256272,18451295,18463257,7119147,8824335,10368416,16510728,17977927,16495362
AreaX-DLM;PMID:11052946,15313778,12471486,11052946,18451295,8994068,7119147,15317851,15590726,16495362,10368416
NCM-CMM;PMID:11535690,12471486,12522195,15313781,15321071,8833113
CLM-CMM;PMID:11535690,12471486,12522195,15313781,15321071,8833113,17360830,19005471
CMM-NIf;PMID:11535690,12471486,12522195,15313781,15321071,8833113
FieldL-CLM;PMID:12471486,17360830,19005471,8833113
NCD-HVC;PMID:12471486
M-NCD;PMID:12471486
M-NCM;PMID:12471486
M-FieldL;PMID:12471486
M-NIf;PMID:12471486
NCM-M;PMID:12471486
FieldL-HVC;PMID:15317851,12471486
FieldL-NCD;PMID:12471486
FieldL-M;PMID:12471486
FieldL-NIf;PMID:15317851,15590726,12471486
UVa-NIf;PMID:15590726,12471486
UVa-HVC;PMID:15590726,12471486
Ov-NCM;PMID:12471486
MLD-Ov;PMID:12471486
RA-DLM;PMID:12471486,10368416
RA-NRA;PMID:12471486
RA-DMP;PMID:10368416
RA-NAM;PMID:12471486,10368416
RA-DM;PMID:12471486,10368416
DM-nXIIts;PMID:12471486
DM-NAM;PMID:10368416
MMAN-HVC;PMID:15317851,15590726,12471486
NAM-nXIIts;PMID:10368416
